card,city,date,event,fightRound,fighterOne,fighterOneUrl,fighterTwo,fighterTwoUrl,method,notes,result,roundTime,weightclass
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,1,Chad Griggs,/wiki/Chad_Griggs,Valentijn Overeem,/wiki/Valentijn_Overeem,Submission (strikes),,def.,02:08,Heavyweight
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,2,Gesias Cavalcante,/wiki/Gesias_Cavalcante,Justin Wilcox,/wiki/Justin_Wilcox,No Contest (accidental eye poke),,vs.,00:31,Lightweight
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,3,Conor Heun,/wiki/Conor_Heun,Magno Almeida,,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Lightweight
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,3,Nah-Shon Burrell,/wiki/Nah-Shon_Burrell,Joe Ray,,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Catchweight (180 lbs)
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,3,Isaac Vallie-Flagg,/wiki/Isaac_Vallie-Flagg,Brian Melancon,/wiki/Brian_Melancon,"Decision (split) (28â€“29, 29â€“28, 29â€“28)",,def.,05:00,Catchweight (175 lbs)
,"Dallas, Texas","June 18, 2011",Strikeforce: Overeem vs. Werdum,3,Mike Bronzoulis,/wiki/Mike_Bronzoulis,Todd Moore,/wiki/Todd_Moore,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Welterweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,1,Dan Henderson,/wiki/Dan_Henderson,Fedor Emelianenko,/wiki/Fedor_Emelianenko,TKO (punches),,def.,04:12,Heavyweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,4,Miesha Tate,/wiki/Miesha_Tate,Marloes Coenen,/wiki/Marloes_Coenen,Submission (arm triangle choke),,def.,03:03,Women's Bantamweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,3,Tyron Woodley,/wiki/Tyron_Woodley,Paul Daley,/wiki/Paul_Daley,"Decision (unanimous) (29â€“28, 29â€“28, 29â€“28)",,def.,05:00,Welterweight
,"Hoffman Estates, Illinois","July 30, 2011",Strikeforce: Fedor vs. Henderson,3,Tim Kennedy,/wiki/Tim_Kennedy_(fighter),Robbie Lawler,/wiki/Robbie_Lawler,"Decision (unanimous) (30â€“27, 30â€“27, 30â€“27)",,def.,05:00,Middleweight
