city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Ultimate Fighting Championship,33,Middleweight,3,C.B. Dollaway,def.,/wiki/C.B._Dollaway,Daniel Sarafian,/wiki/Daniel_Sarafian,"Decision (split) (29–28, 28–29, 29–28)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Heavyweight,2,Gabriel Gonzaga,def.,/wiki/Gabriel_Gonzaga,Ben Rothwell,/wiki/Ben_Rothwell,Submission (guillotine choke),2012 in UFC,1:01,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,1,Khabib Nurmagomedov,def.,/wiki/Khabib_Nurmagomedov,Thiago Tavares,/wiki/Thiago_Tavares,TKO (punches and elbows),2012 in UFC,1:55,2014 in UFC
Ultimate Fighting Championship,33,Featherweight,3,Godofredo Pepey,def.,/wiki/Godofredo_Pepey,Milton Vieira,/wiki/Milton_Vieira,"Decision (split) (29–28, 28–29, 29–28)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Middleweight,3,Ronny Markes,def.,/wiki/Ronny_Markes,Andrew Craig,/wiki/Andrew_Craig,"Decision (unanimous) (29–28, 29–28, 29–28)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Featherweight,3,Nik Lentz,def.,/wiki/Nik_Lentz,Diego Nunes,/wiki/Diego_Nunes_(fighter),"Decision (unanimous) (30–27, 30–27, 30–26)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,1,Edson Barboza,def.,/wiki/Edson_Barboza,Lucas Martins,/wiki/Lucas_Martins,TKO (retirement),2012 in UFC,2:38,2014 in UFC
Ultimate Fighting Championship,33,Bantamweight,1,Iuri Alcantara,vs.,/wiki/Iuri_Alcantara,,,No Contest (punches to back of head),2012 in UFC,2:11,2014 in UFC
Ultimate Fighting Championship,33,Light Heavyweight,2,Ildemar Alcantara,def.,/wiki/Ildemar_Alcantara,Wagner Prado,/wiki/Wagner_Prado,Submission (kneebar),2012 in UFC,2:39,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,2,Francisco Trinaldo,def.,/wiki/Francisco_Trinaldo,,,Submission (arm-triangle choke),2012 in UFC,1:50,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,5,Benson Henderson,def.,/wiki/Benson_Henderson,Gilbert Melendez,/wiki/Gilbert_Melendez,"Decision (split) (47–48, 48–47, 48–47)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Heavyweight,3,Daniel Cormier,def.,/wiki/Daniel_Cormier,Frank Mir,/wiki/Frank_Mir,"Decision (unanimous) (30–27, 30–27, 30–27)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,2,Josh Thomson,def.,/wiki/Josh_Thomson,Nate Diaz,/wiki/Nate_Diaz,TKO (head kick and punches),2012 in UFC,3:44,2014 in UFC
Ultimate Fighting Championship,33,Welterweight,2,Matt Brown,def.,/wiki/Matt_Brown_(fighter),Jordan Mein,/wiki/Jordan_Mein,TKO (elbows to the body),2012 in UFC,1:00,2014 in UFC
Ultimate Fighting Championship,33,Featherweight,1,Chad Mendes,def.,/wiki/Chad_Mendes,Darren Elkins,/wiki/Darren_Elkins,TKO (punches),2012 in UFC,1:08,2014 in UFC
Ultimate Fighting Championship,33,Middleweight,3,Francis Carmont,def.,/wiki/Francis_Carmont,Lorenz Larkin,/wiki/Lorenz_Larkin,"Decision (unanimous) (29–28, 29–28, 29–28)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,2,Myles Jury,def.,/wiki/Myles_Jury,Ramsey Nijem,/wiki/Ramsey_Nijem,KO (punch),2012 in UFC,1:02,2014 in UFC
Ultimate Fighting Championship,33,Flyweight,2,Joseph Benavidez,def.,/wiki/Joseph_Benavidez,Darren Uyenoyama,/wiki/Darren_Uyenoyama,TKO (body kick and punches),2012 in UFC,4:50,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,3,Jorge Masvidal,def.,/wiki/Jorge_Masvidal,Tim Means,/wiki/Tim_Means,"Decision (unanimous) (29–28, 29–28, 29–28)",2012 in UFC,5:00,2014 in UFC
Ultimate Fighting Championship,33,Bantamweight,1,T.J. Dillashaw,def.,/wiki/T.J._Dillashaw,Hugo Viana,/wiki/Hugo_Viana_(fighter),TKO (punches),2012 in UFC,4:22,2014 in UFC
Ultimate Fighting Championship,33,Lightweight,2,Anthony Njokuani,def.,/wiki/Anthony_Njokuani,Roger Bowling,/wiki/Roger_Bowling_(fighter),KO (punch),2012 in UFC,2:52,2014 in UFC
Ultimate Fighting Championship,33,Middleweight,1,Yoel Romero,def.,/wiki/Yoel_Romero,Clifford Starks,/wiki/Clifford_Starks,KO (flying knee and punches),2012 in UFC,1:32,2014 in UFC
city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
"Denver, Colorado","August 11, 2012",Lightweight,5,Benson Henderson,def.,/wiki/Benson_Henderson,Frankie Edgar,/wiki/Frankie_Edgar,"Decision (split) (48–47, 48–47, 46–49)",Ultimate Fighting Championship,5:00,Pepsi Center
"Denver, Colorado","August 11, 2012",Catchweight (157.5 lbs.),1,Donald Cerrone,def.,/wiki/Donald_Cerrone,Melvin Guillard,/wiki/Melvin_Guillard,KO (head kick and punch),Ultimate Fighting Championship,1:16,Pepsi Center
"Denver, Colorado","August 11, 2012",Middleweight,3,Jake Shields,vs.,/wiki/Jake_Shields,Ed Herman,/wiki/Ed_Herman_(mixed_martial_artist),No Contest (overturned),Ultimate Fighting Championship,5:00,Pepsi Center
"Denver, Colorado","August 11, 2012",Middleweight,2,Yushin Okami,def.,/wiki/Yushin_Okami,,,TKO (punches),Ultimate Fighting Championship,3:05,Pepsi Center
"Denver, Colorado","August 11, 2012",Featherweight,2,Max Holloway,def.,/wiki/Max_Holloway,Justin Lawrence,/wiki/Justin_Lawrence,TKO (punches),Ultimate Fighting Championship,4:49,Pepsi Center
"Denver, Colorado","August 11, 2012",Featherweight,1,Dennis Bermudez,def.,/wiki/Dennis_Bermudez,,,Submission (standing guillotine choke),Ultimate Fighting Championship,4:43,Pepsi Center
"Denver, Colorado","August 11, 2012",Middleweight,2,Michael Kuiper,def.,/wiki/Michael_Kuiper,Jared Hamman,/wiki/Jared_Hamman,TKO (punches),Ultimate Fighting Championship,2:16,Pepsi Center
"Denver, Colorado","August 11, 2012",Bantamweight,1,Erik Perez,def.,/wiki/Erik_Perez,Ken Stone,/wiki/Ken_Stone_(fighter),TKO (punches),Ultimate Fighting Championship,0:17,Pepsi Center
"Denver, Colorado","August 11, 2012",Bantamweight,3,Chico Camus,def.,/wiki/Chico_Camus,Dustin Pague,/wiki/Dustin_Pague,"Decision (unanimous) (29–28, 30–27, 29–28)",Ultimate Fighting Championship,5:00,Pepsi Center
"Denver, Colorado","August 11, 2012",Featherweight,1,Nik Lentz,def.,/wiki/Nik_Lentz,Eiji Mitsuoka,/wiki/Eiji_Mitsuoka,TKO (punches),Ultimate Fighting Championship,3:45,Pepsi Center
"Las Vegas, Nevada",Cancelled,Light Heavyweight,,Jon Jones,vs,/wiki/Jon_Jones_(fighter),Dan Henderson,/wiki/Dan_Henderson,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Welterweight,,Jake Ellenberger,vs,/wiki/Jake_Ellenberger,Jay Hieron,/wiki/Jay_Hieron,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Featherweight,,Dennis Siver,vs,/wiki/Dennis_Siver,Eddie Yagin,/wiki/Eddie_Yagin,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Lightweight,,Dennis Hallman,vs,/wiki/Dennis_Hallman,Thiago Tavares,/wiki/Thiago_Tavares,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Flyweight,,John Lineker,vs,/wiki/John_Lineker,Yasuhiro Urushitani,/wiki/Yasuhiro_Urushitani,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Lightweight,,Michael Johnson,vs,/wiki/Michael_Johnson_(fighter),Danny Castillo,/wiki/Danny_Castillo,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Bantamweight,,Takeya Mizugaki,vs,/wiki/Takeya_Mizugaki,Jeff Hougland,/wiki/Jeff_Hougland,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Lightweight,,Tim Means,vs,/wiki/Tim_Means,Abel Trujillo,/wiki/Abel_Trujillo,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Lightweight,,Daron Cruickshank,vs,/wiki/Daron_Cruickshank,Henry Martinez,/wiki/Henry_Martinez_(fighter),,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Lightweight,,Shane Roller,vs,/wiki/Shane_Roller,Jacob Volkmann,/wiki/Jacob_Volkmann,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Las Vegas, Nevada",Cancelled,Welterweight,,Kyle Noke,vs,/wiki/Kyle_Noke,Charlie Brenneman,/wiki/Charlie_Brenneman,,Ultimate Fighting Championship,,Mandalay Bay Events Center
"Toronto, Ontario, Canada","September 22, 2012",Light Heavyweight,4,Jon Jones,def.,/wiki/Jon_Jones_(fighter),Vitor Belfort,/wiki/Vitor_Belfort,Submission (americana),Ultimate Fighting Championship,0:54,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Flyweight,5,Demetrious Johnson,def.,/wiki/Demetrious_Johnson_(fighter),Joseph Benavidez,/wiki/Joseph_Benavidez,"Decision (split) (48–47, 47–48, 49–46)",Ultimate Fighting Championship,5:00,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Middleweight,3,Michael Bisping,def.,/wiki/Michael_Bisping,Brian Stann,/wiki/Brian_Stann,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Light Heavyweight,3,Matt Hamill,def.,/wiki/Matt_Hamill,Roger Hollett,/wiki/Roger_Hollett,"Decision (unanimous) (29–28, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Catchweight (146.2 lbs.),1,Cub Swanson,def.,/wiki/Cub_Swanson,Charles Oliveira,/wiki/Charles_Oliveira,KO (punch),Ultimate Fighting Championship,2:40,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Light Heavyweight,2,Vinny Magalhães,def.,/wiki/Vinny_Magalh%C3%A3es,Igor Pokrajac,/wiki/Igor_Pokrajac,Submission (armbar),Ultimate Fighting Championship,1:14,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Lightweight,3,TJ Grant,def.,/wiki/TJ_Grant,Evan Dunham,/wiki/Evan_Dunham,"Decision (unanimous) (29–28, 30–27, 29–28)",Ultimate Fighting Championship,5:00,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Welterweight,3,Sean Pierson,def.,/wiki/Sean_Pierson,Lance Benoist,/wiki/Lance_Benoist,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Featherweight,3,Marcus Brimage,def.,/wiki/Marcus_Brimage,Jimy Hettes,/wiki/Jimy_Hettes,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Welterweight,1,Seth Baczynski,def.,/wiki/Seth_Baczynski,Simeon Thoresen,/wiki/Simeon_Thoresen,KO (punch),Ultimate Fighting Championship,4:10,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Bantamweight,1,Mitch Gagnon,def.,/wiki/Mitch_Gagnon,Walel Watson,/wiki/Walel_Watson,Submission (rear-naked choke),Ultimate Fighting Championship,1:09,Air Canada Centre
"Toronto, Ontario, Canada","September 22, 2012",Welterweight,1,Kyle Noke,def.,/wiki/Kyle_Noke,Charlie Brenneman,/wiki/Charlie_Brenneman,TKO (punches),Ultimate Fighting Championship,0:45,Air Canada Centre
Nottingham,"September 29, 2012",Heavyweight,2,Stefan Struve,def.,/wiki/Stefan_Struve,Stipe Miocic,/wiki/Stipe_Miocic,TKO (punches),Ultimate Fighting Championship,3:50,Capital FM Arena
Nottingham,"September 29, 2012",Welterweight,3,Dan Hardy,def.,/wiki/Dan_Hardy,Amir Sadollah,/wiki/Amir_Sadollah,"Decision (unanimous) (29–28, 29–28, 30–27)",Ultimate Fighting Championship,5:00,Capital FM Arena
Nottingham,"September 29, 2012",Bantamweight,1,Brad Pickett,def.,/wiki/Brad_Pickett,Yves Jabouin,/wiki/Yves_Jabouin,KO (punch),Ultimate Fighting Championship,3:40,Capital FM Arena
Nottingham,"September 29, 2012",Lightweight,1,Matt Wiman,def.,/wiki/Matt_Wiman,Paul Sass,/wiki/Paul_Sass,Submission (armbar),Ultimate Fighting Championship,3:48,Capital FM Arena
Nottingham,"September 29, 2012",Welterweight,3,John Hathaway,def.,/wiki/John_Hathaway,John Maguire,/wiki/John_Maguire_(fighter),"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Capital FM Arena
Nottingham,"September 29, 2012",Welterweight,1,Che Mills,def.,/wiki/Che_Mills,Duane Ludwig,/wiki/Duane_Ludwig,TKO (knee injury),Ultimate Fighting Championship,2:28,Capital FM Arena
Nottingham,"September 29, 2012",Light Heavyweight,2,Jimi Manuwa,def.,/wiki/Jimi_Manuwa,Kyle Kingsbury,/wiki/Kyle_Kingsbury,TKO (doctor stoppage),Ultimate Fighting Championship,5:00,Capital FM Arena
Nottingham,"September 29, 2012",Featherweight,3,Akira Corassani,def.,/wiki/Akira_Corassani,Andy Ogle,/wiki/Andy_Ogle,"Decision (split) (29–28, 27–30, 29–28)",Ultimate Fighting Championship,5:00,Capital FM Arena
Nottingham,"September 29, 2012",Middleweight,3,Brad Tavares,def.,/wiki/Brad_Tavares,Tom Watson,/wiki/Tom_Watson_(fighter),"Decision (split) (30–27, 28–29, 29–28)",Ultimate Fighting Championship,5:00,Capital FM Arena
Nottingham,"September 29, 2012",Catchweight (183 lbs.),1,Gunnar Nelson,def.,/wiki/Gunnar_Nelson_(fighter),DaMarques Johnson,/wiki/DaMarques_Johnson,Submission (rear-naked choke),Ultimate Fighting Championship,3:34,Capital FM Arena
Nottingham,"September 29, 2012",Featherweight,1,Robbie Peralta,def.,/wiki/Robbie_Peralta,Jason Young,/wiki/Jason_Young_(fighter),KO (punches),Ultimate Fighting Championship,0:18,Capital FM Arena
"Minneapolis, Minnesota","October 5, 2012",Heavyweight,1,Antônio Silva,def.,/wiki/Ant%C3%B4nio_Silva_(fighter),Travis Browne,/wiki/Travis_Browne,TKO (punches),Ultimate Fighting Championship,3:27,Target Center
"Minneapolis, Minnesota","October 5, 2012",Welterweight,3,Jake Ellenberger,def.,/wiki/Jake_Ellenberger,Jay Hieron,/wiki/Jay_Hieron,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Target Center
"Minneapolis, Minnesota","October 5, 2012",Flyweight,2,John Dodson,def.,/wiki/John_Dodson_(fighter),Jussier Formiga,/wiki/Jussier_Formiga,TKO (punches),Ultimate Fighting Championship,4:35,Target Center
"Minneapolis, Minnesota","October 5, 2012",Welterweight,1,Justin Edwards,def.,/wiki/Justin_Edwards_(fighter),Josh Neer,/wiki/Josh_Neer,Technical Submission (guillotine choke),Ultimate Fighting Championship,0:45,Target Center
"Minneapolis, Minnesota","October 5, 2012",Lightweight,2,Michael Johnson,def.,/wiki/Michael_Johnson_(fighter),Danny Castillo,/wiki/Danny_Castillo,KO (punches),Ultimate Fighting Championship,1:06,Target Center
"Minneapolis, Minnesota","October 5, 2012",Welterweight,2,Mike Pierce,def.,/wiki/Mike_Pierce,Aaron Simpson,/wiki/Aaron_Simpson_(fighter),KO (punches),Ultimate Fighting Championship,0:29,Target Center
"Minneapolis, Minnesota","October 5, 2012",Lightweight,3,Marcus LeVesseur,def.,/wiki/Marcus_LeVesseur,Carlo Prater,/wiki/Carlo_Prater,"Decision (split) (28–29, 29–28, 29–28)",Ultimate Fighting Championship,5:00,Target Center
"Minneapolis, Minnesota","October 5, 2012",Lightweight,1,Jacob Volkmann,def.,/wiki/Jacob_Volkmann,Shane Roller,/wiki/Shane_Roller,Submission (rear-naked choke),Ultimate Fighting Championship,2:38,Target Center
"Minneapolis, Minnesota","October 5, 2012",Featherweight,3,Diego Nunes,def.,/wiki/Diego_Nunes_(fighter),Bart Palaszewski,/wiki/Bart_Palaszewski,"Decision (unanimous) (30–27, 29–28, 30–27)",Ultimate Fighting Championship,5:00,Target Center
"Minneapolis, Minnesota","October 5, 2012",Flyweight,2,Darren Uyenoyama,def.,/wiki/Darren_Uyenoyama,Phil Harris,/wiki/Phil_Harris_(fighter),Submission (rear-naked choke),Ultimate Fighting Championship,3:38,Target Center
Rio de Janeiro,"October 13, 2012",Light Heavyweight,1,Anderson Silva,def.,/wiki/Anderson_Silva,Stephan Bonnar,/wiki/Stephan_Bonnar,TKO (knee to the body and punches),Ultimate Fighting Championship,4:40,HSBC Arena
Rio de Janeiro,"October 13, 2012",Heavyweight,2,Antônio Rodrigo Nogueira,def.,/wiki/Ant%C3%B4nio_Rodrigo_Nogueira,Dave Herman,/wiki/Dave_Herman_(fighter),Submission (armbar),Ultimate Fighting Championship,4:31,HSBC Arena
Rio de Janeiro,"October 13, 2012",Light Heavyweight,2,Glover Teixeira,def.,/wiki/Glover_Teixeira,Fabio Maldonado,/wiki/Fabio_Maldonado,TKO (doctor stoppage),Ultimate Fighting Championship,5:00,HSBC Arena
Rio de Janeiro,"October 13, 2012",Welterweight,3,Jon Fitch,def.,/wiki/Jon_Fitch,Erick Silva,/wiki/Erick_Silva,"Decision (unanimous) (30–27, 29–28, 29–28)",Ultimate Fighting Championship,5:00,HSBC Arena
Rio de Janeiro,"October 13, 2012",Light Heavyweight,2,Phil Davis,def.,/wiki/Phil_Davis_(fighter),Wagner Prado,/wiki/Wagner_Prado,Submission (anaconda choke),Ultimate Fighting Championship,4:29,HSBC Arena
Rio de Janeiro,"October 13, 2012",Welterweight,1,Demian Maia,def.,/wiki/Demian_Maia,Rick Story,/wiki/Rick_Story,Submission (neck crank),Ultimate Fighting Championship,2:30,HSBC Arena
Rio de Janeiro,"October 13, 2012",Featherweight,2,Rony Mariano Bezerra,def.,/wiki/Rony_Mariano_Bezerra,Sam Sicilia,/wiki/Sam_Sicilia,TKO (punches),Ultimate Fighting Championship,4:16,HSBC Arena
Rio de Janeiro,"October 13, 2012",Lightweight,3,Gleison Tibau,def.,/wiki/Gleison_Tibau,Francisco Trinaldo,/wiki/Francisco_Trinaldo,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,HSBC Arena
Rio de Janeiro,"October 13, 2012",Featherweight,3,Diego Brandao,def.,/wiki/Diego_Brandao,,,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,HSBC Arena
Rio de Janeiro,"October 13, 2012",Welterweight,3,Sergio Moraes,def.,/wiki/Sergio_Moraes,Renee Forte,/wiki/Renee_Forte,Submission (rear-naked choke),Ultimate Fighting Championship,3:10,HSBC Arena
Rio de Janeiro,"October 13, 2012",Middleweight,3,Chris Camozzi,def.,/wiki/Chris_Camozzi,Luiz Cané,/wiki/Luiz_Can%C3%A9,"Decision (unanimous) (29–28, 29–28, 29–28)",Ultimate Fighting Championship,5:00,HSBC Arena
Rio de Janeiro,"October 13, 2012",Lightweight,3,Cristiano Marcello,def.,/wiki/Cristiano_Marcello,Reza Madadi,/wiki/Reza_Madadi,"Decision (split) (29–28, 28–29, 30–27)",Ultimate Fighting Championship,5:00,HSBC Arena
Macau,"November 10, 2012",Middleweight,1,Cung Le,def.,/wiki/Cung_Le,Rich Franklin,/wiki/Rich_Franklin,KO (punch),Ultimate Fighting Championship,2:17,CotaiArena
Macau,"November 10, 2012",Light Heavyweight,3,Thiago Silva,vs,/wiki/Thiago_Silva_(fighter),Stanislav Nedkov,/wiki/Stanislav_Nedkov,No Contest,Ultimate Fighting Championship,1:45,CotaiArena
Macau,"November 10, 2012",Welterweight,3,Dong Hyun Kim,def.,/wiki/Dong_Hyun_Kim,Paulo Thiago,/wiki/Paulo_Thiago,"Decision (unanimous) (30–26, 30–27, 30–27)",Ultimate Fighting Championship,5:00,CotaiArena
Macau,"November 10, 2012",Lightweight,3,Takanori Gomi,def.,/wiki/Takanori_Gomi,Mac Danzig,/wiki/Mac_Danzig,"Decision (split) (28–29, 29–28, 29–28)",Ultimate Fighting Championship,5:00,CotaiArena
Macau,"November 10, 2012",Lightweight,3,Jon Tuck,def.,/wiki/Jon_Tuck,Tiequan Zhang,/wiki/Tiequan_Zhang,"Decision (unanimous) (29–28, 30–27, 29–28)",Ultimate Fighting Championship,5:00,CotaiArena
Macau,"November 10, 2012",Bantamweight,3,Takeya Mizugaki,def.,/wiki/Takeya_Mizugaki,Jeff Hougland,/wiki/Jeff_Hougland,"Decision (unanimous) (30–25, 30–27, 30–27)",Ultimate Fighting Championship,5:00,CotaiArena
Macau,"November 10, 2012",Bantamweight,3,Alex Caceres,def.,/wiki/Alex_Caceres,,,"Decision (split) (28–29, 30–27, 30–27)",Ultimate Fighting Championship,5:00,CotaiArena
Macau,"November 10, 2012",Flyweight,3,John Lineker,def.,/wiki/John_Lineker,Yasuhiro Urushitani,/wiki/Yasuhiro_Urushitani,"Decision (unanimous) (29–28, 30–27, 29–28)",Ultimate Fighting Championship,5:00,CotaiArena
Macau,"November 10, 2012",Middleweight,3,Riki Fukuda,def.,/wiki/Riki_Fukuda,Tom DeBlass,/wiki/Tom_DeBlass,"Decision (unanimous) (30–27, 29–28, 29–28)",Ultimate Fighting Championship,5:00,CotaiArena
"Montreal, Quebec, Canada","November 17, 2012",Welterweight,5,Georges St-Pierre,def.,/wiki/Georges_St-Pierre,Carlos Condit,/wiki/Carlos_Condit,"Decision (unanimous) (49–46, 50–45, 50–45)",Ultimate Fighting Championship,5:00,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Welterweight,1,Johny Hendricks,def.,/wiki/Johny_Hendricks,Martin Kampmann,/wiki/Martin_Kampmann,KO (punch),Ultimate Fighting Championship,0:46,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Middleweight,3,Francis Carmont,def.,/wiki/Francis_Carmont,Tom Lawlor,/wiki/Tom_Lawlor,"Decision (split) (29–28, 28–29, 29–28)",Ultimate Fighting Championship,5:00,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Lightweight,3,Rafael dos Anjos,def.,/wiki/Rafael_dos_Anjos,Mark Bocek,/wiki/Mark_Bocek,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Featherweight,3,Pablo Garza,def.,/wiki/Pablo_Garza_(fighter),Mark Hominick,/wiki/Mark_Hominick,"Decision (unanimous) (29–27, 30–26, 29–28)",Ultimate Fighting Championship,5:00,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Middleweight,1,Patrick Côté,def.,/wiki/Patrick_C%C3%B4t%C3%A9_(fighter),Alessio Sakara,/wiki/Alessio_Sakara,Disqualification (punches to back of head),Ultimate Fighting Championship,1:26,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Light Heavyweight,1,Cyrille Diabaté,def.,/wiki/Cyrille_Diabat%C3%A9,Chad Griggs,/wiki/Chad_Griggs,Submission (rear-naked choke),Ultimate Fighting Championship,2:24,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Lightweight,3,John Makdessi,def.,/wiki/John_Makdessi,Sam Stout,/wiki/Sam_Stout,"Decision (unanimous) (30–27, 29–28, 30–27)",Ultimate Fighting Championship,5:00,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Featherweight,3,Antonio Carvalho,def.,/wiki/Antonio_Carvalho,Rodrigo Damm,/wiki/Rodrigo_Damm,"Decision (split) (29–28, 28–29, 29–28)",Ultimate Fighting Championship,5:00,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Welterweight,3,Matthew Riddle,def.,/wiki/Matthew_Riddle,John Maguire,/wiki/John_Maguire_(fighter),"Decision (unanimous) (30–27, 30–27, 29–28)",Ultimate Fighting Championship,5:00,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Bantamweight,1,Ivan Menjivar,def.,/wiki/Ivan_Menjivar,,,Submission (armbar),Ultimate Fighting Championship,2:44,Bell Centre
"Montreal, Quebec, Canada","November 17, 2012",Featherweight,3,Darren Elkins,def.,/wiki/Darren_Elkins,Steven Siler,/wiki/Steven_Siler,"Decision (unanimous) (30–27, 30–27, 30–27)",Ultimate Fighting Championship,5:00,Bell Centre
"Seattle, Washington","December 8, 2012",Lightweight,5,Benson Henderson,def.,/wiki/Benson_Henderson,Nate Diaz,/wiki/Nate_Diaz,"Decision (unanimous) (50–45, 50–45, 50–43)",Ultimate Fighting Championship,5:00,KeyArena
"Seattle, Washington","December 8, 2012",Light Heavyweight,3,Alexander Gustafsson,def.,/wiki/Alexander_Gustafsson,Mauricio Rua,/wiki/Mauricio_Rua,"Decision (unanimous) (30–27, 30–27, 30–26)",Ultimate Fighting Championship,5:00,KeyArena
"Seattle, Washington","December 8, 2012",Welterweight,3,Rory MacDonald,def.,/wiki/Rory_MacDonald_(fighter),B.J. Penn,/wiki/B.J._Penn,"Decision (unanimous) (30–26, 30–26, 30–27)",Ultimate Fighting Championship,5:00,KeyArena
"Seattle, Washington","December 8, 2012",Welterweight,2,Matt Brown,def.,/wiki/Matt_Brown_(fighter),Mike Swick,/wiki/Mike_Swick,KO (punches),Ultimate Fighting Championship,2:31,KeyArena
"Seattle, Washington","December 8, 2012",Lightweight,1,Yves Edwards,def.,/wiki/Yves_Edwards,Jeremy Stephens,/wiki/Jeremy_Stephens,KO (punches and elbows),Ultimate Fighting Championship,1:55,KeyArena
"Seattle, Washington","December 8, 2012",Bantamweight,3,Raphael Assunção,def.,/wiki/Raphael_Assun%C3%A7%C3%A3o,Mike Easton,/wiki/Mike_Easton,"Decision (unanimous) (29–28, 30–27, 30–27)",Ultimate Fighting Championship,5:00,KeyArena
"Seattle, Washington","December 8, 2012",Lightweight,3,Ramsey Nijem,def.,/wiki/Ramsey_Nijem,Joe Proctor,/wiki/Joe_Proctor,"Decision (unanimous) (30–27, 29–28, 29–28)",Ultimate Fighting Championship,5:00,KeyArena
"Seattle, Washington","December 8, 2012",Catchweight (158.8 lbs.),2,Daron Cruickshank,def.,/wiki/Daron_Cruickshank,Henry Martinez,/wiki/Henry_Martinez_(fighter),KO (head kick),Ultimate Fighting Championship,2:57,KeyArena
"Seattle, Washington","December 8, 2012",Lightweight,2,Abel Trujillo,def.,/wiki/Abel_Trujillo,Marcus LeVesseur,/wiki/Marcus_LeVesseur,TKO (knees to the body),Ultimate Fighting Championship,3:56,KeyArena
"Seattle, Washington","December 8, 2012",Featherweight,3,Dennis Siver,def.,/wiki/Dennis_Siver,Nam Phan,/wiki/Nam_Phan,"Decision (unanimous) (30–26, 30–25, 30–24)",Ultimate Fighting Championship,5:00,KeyArena
