city,date,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Lake Charles,"March 10, 2000",Lightweight,2,Shonie Carter,def.,/wiki/Shonie_Carter,,,Decision (unanimous),Ultimate Fighting Championship,5:00,Lake Charles Civic Center
Tokyo,"April 14, 2000",Light Heavyweight,5,Tito Ortiz,def.,/wiki/Tito_Ortiz,Wanderlei Silva,/wiki/Wanderlei_Silva,Decision (unanimous),Ultimate Fighting Championship,5:00,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",Middleweight,2,Murilo Bustamante,def.,/wiki/Murilo_Bustamante,Yoji Anjo,/wiki/Yoji_Anjo,Submission (arm-triangle choke),Ultimate Fighting Championship,0:31,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",Middleweight,1,Sanae Kikuta,def.,/wiki/Sanae_Kikuta,,,Submission (armbar),Ultimate Fighting Championship,4:38,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",Heavyweight,3,Ron Waterman,def.,/wiki/Ron_Waterman,Satoshi Honma,/wiki/Satoshi_Honma,Decision (unanimous),Ultimate Fighting Championship,5:00,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",Middleweight,3,Ikuhisa Minowa,def.,/wiki/Ikuhisa_Minowa,Joe Slick,/wiki/Joe_Slick,TKO (referee stoppage due to cut),Ultimate Fighting Championship,2:02,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",Lightweight,3,LaVerne Clark,def.,/wiki/LaVerne_Clark,,,Decision (majority),Ultimate Fighting Championship,5:00,Yoyogi National Gymnasium
"Cedar Rapids, Iowa","June 9, 2000",Heavyweight,5,Kevin Randleman,def.,/wiki/Kevin_Randleman,Pedro Rizzo,/wiki/Pedro_Rizzo,Decision (unanimous),Ultimate Fighting Championship,5:00,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",Light Heavyweight,3,Tyrone Roberts,def.,,David Dodd,,Decision (unanimous),Ultimate Fighting Championship,5:00,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",Welterweight,2,Pat Miletich,def.,/wiki/Pat_Miletich,John Alessio,/wiki/John_Alessio,Submission (armbar),Ultimate Fighting Championship,1:43,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",Light Heavyweight,2,Amaury Bitetti,def.,/wiki/Amaury_Bitetti,Alex Andrade,/wiki/Alex_Andrade,Disqualification (kicking with shoes),Ultimate Fighting Championship,0:43,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",Welterweight,1,Matt Hughes,def.,/wiki/Matt_Hughes_(fighter),Marcelo Aguiar,/wiki/Marcelo_Aguiar,TKO (doctor stoppage),Ultimate Fighting Championship,4:34,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",Lightweight,3,Jens Pulver,def.,/wiki/Jens_Pulver,Joao Roque,/wiki/Joao_Roque,Decision (unanimous),Ultimate Fighting Championship,5:00,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",Heavyweight,2,Ian Freeman,def.,/wiki/Ian_Freeman,,,Submission (punches),Ultimate Fighting Championship,2:13,Five Seasons Events Center
"Cedar Rapids, Iowa","June 9, 2000",Welterweight,2,Shonie Carter,def.,/wiki/Shonie_Carter,Adrian Serrano,/wiki/Adrian_Serrano,Decision (unanimous),Ultimate Fighting Championship,5:00,Five Seasons Events Center
New Orleans,"September 22, 2000",Heavyweight,1,Pedro Rizzo,def.,/wiki/Pedro_Rizzo,Dan Severn,/wiki/Dan_Severn,Submission (punches),Ultimate Fighting Championship,1:33,Lakefront Arena
New Orleans,"September 22, 2000",Heavyweight,3,Maurice Smith,def.,/wiki/Maurice_Smith_(kickboxer),Bobby Hoffman,/wiki/Bobby_Hoffman,Split decision,Ultimate Fighting Championship,5:00,Lakefront Arena
New Orleans,"September 22, 2000",Middleweight,1,Jeremy Horn,def.,/wiki/Jeremy_Horn,,,Submission (armbar),Ultimate Fighting Championship,4:32,Lakefront Arena
New Orleans,"September 22, 2000",Lightweight,1,Fabiano Iha,def.,/wiki/Fabiano_Iha,LaVerne Clark,/wiki/LaVerne_Clark,Submission (armbar),Ultimate Fighting Championship,1:10,Lakefront Arena
New Orleans,"September 22, 2000",Middleweight,3,Yuki Kondo,def.,/wiki/Yuki_Kondo,Alexandre Dantas,/wiki/Alexandre_Dantas,TKO (strikes),Ultimate Fighting Championship,2:28,Lakefront Arena
New Orleans,"September 22, 2000",Heavyweight,3,Ian Freeman,def.,/wiki/Ian_Freeman,Tedd Williams,/wiki/Tedd_Williams,Unanimous decision,Ultimate Fighting Championship,5:00,Lakefront Arena
New Orleans,"September 22, 2000",Heavyweight,2,Jeff Monson,def.,/wiki/Jeff_Monson,Tim Lajcik,/wiki/Tim_Lajcik,Unanimous decision,Ultimate Fighting Championship,5:00,Lakefront Arena
