city,date,event,fightClass,fightRound,fighterOne,fighterOneResult,fighterOneUrl,fighterTwo,fighterTwoUrl,method,promotion,time,venue
Tokyo,"November 19, 1999",UFC 23: Ultimate Japan 2,Middleweight,2,Kenichi Yamamoto,def.,/wiki/Kenichi_Yamamoto_(fighter),Katsuhisa Fujii,/wiki/Katsuhisa_Fujii,Submission (kneebar),Ultimate Fighting Championship,04:15,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",UFC 23: Ultimate Japan 2,Middleweight,2,Katsuhisa Fujii,def.,/wiki/Katsuhisa_Fujii,,,TKO (referee stoppage due to strikes),Ultimate Fighting Championship,03:14,Tokyo Bay NK Hall
Tokyo,"November 19, 1999",UFC 23: Ultimate Japan 2,Middleweight,3,Kenichi Yamamoto,def.,/wiki/Kenichi_Yamamoto_(fighter),Daiju Takase,/wiki/Daiju_Takase,Unanimous decision,Ultimate Fighting Championship,05:00,Tokyo Bay NK Hall
Lake Charles,"March 10, 2000",UFC 24: First Defense,Heavyweight,1,Tedd Williams,def.,/wiki/Tedd_Williams,,,TKO (punches),Ultimate Fighting Championship,03:23,Lake Charles Civic Center
Lake Charles,"March 10, 2000",UFC 24: First Defense,Middleweight,3,Lance Gibson,def.,/wiki/Lance_Gibson,,,KO (knee),Ultimate Fighting Championship,03:35,Lake Charles Civic Center
Lake Charles,"March 10, 2000",UFC 24: First Defense,Lightweight,3,Dave Menne,def.,/wiki/Dave_Menne,Fabiano Iha,/wiki/Fabiano_Iha,Decision (unanimous),Ultimate Fighting Championship,05:00,Lake Charles Civic Center
Lake Charles,"March 10, 2000",UFC 24: First Defense,Lightweight,2,Bob Cook,def.,,,/wiki/Tiki_Ghosn,Submission (rear-naked choke),Ultimate Fighting Championship,01:29,Lake Charles Civic Center
Lake Charles,"March 10, 2000",UFC 24: First Defense,Lightweight,2,Jens Pulver,def.,/wiki/Jens_Pulver,,,TKO (punches),Ultimate Fighting Championship,02:41,Lake Charles Civic Center
Lake Charles,"March 10, 2000",UFC 24: First Defense,Heavyweight,1,Scott Adams,def.,,,/wiki/Ian_Freeman,Submission (achilles lock),Ultimate Fighting Championship,03:09,Lake Charles Civic Center
Lake Charles,"March 10, 2000",UFC 24: First Defense,Lightweight,2,Shonie Carter,def.,/wiki/Shonie_Carter,,,Decision (unanimous),Ultimate Fighting Championship,05:00,Lake Charles Civic Center
Tokyo,"April 14, 2000",UFC 25: Ultimate Japan 3,Middleweight,5,Tito Ortiz,def.,/wiki/Tito_Ortiz,Wanderlei Silva,/wiki/Wanderlei_Silva,Decision (unanimous),Ultimate Fighting Championship,05:00,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",UFC 25: Ultimate Japan 3,Middleweight,2,Murilo Bustamante,def.,/wiki/Murilo_Bustamante,Yoji Anjo,/wiki/Yoji_Anjo,Submission (arm-triangle choke),Ultimate Fighting Championship,00:31,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",UFC 25: Ultimate Japan 3,Middleweight,1,Sanae Kikuta,def.,/wiki/Sanae_Kikuta,,,Submission (armbar),Ultimate Fighting Championship,04:38,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",UFC 25: Ultimate Japan 3,Heavyweight,3,Ron Waterman,def.,/wiki/Ron_Waterman,Satoshi Honma,/wiki/Satoshi_Honma,Decision (unanimous),Ultimate Fighting Championship,05:00,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",UFC 25: Ultimate Japan 3,Middleweight,3,Ikuhisa Minowa,def.,/wiki/Ikuhisa_Minowa,Joe Slick,/wiki/Joe_Slick,TKO (referee stoppage due to cut),Ultimate Fighting Championship,02:02,Yoyogi National Gymnasium
Tokyo,"April 14, 2000",UFC 25: Ultimate Japan 3,Lightweight,3,LaVerne Clark,def.,/wiki/LaVerne_Clark,,,Decision (majority),Ultimate Fighting Championship,05:00,Yoyogi National Gymnasium
"Cedar Rapids, Iowa","June 9, 2000",UFC 26: Ultimate Field of Dreams,Heavyweight,5,Kevin Randleman,def.,/wiki/Kevin_Randleman,Pedro Rizzo,/wiki/Pedro_Rizzo,Decision (unanimous),Ultimate Fighting Championship,05:00,Five Seasons Events Center
